"","X1","artist","title","reviewid","score","author","author_type","pub_date","pub_weekday","album_release_year"
"285",299,"julia holter","ekstasis",16352,8.6,"mark richardson","executive editor",2012-03-02,4,2012
"286",300,"julia holter","loud city song",18378,8.6,"lindsay zoladz","contributor",2013-08-16,4,2013
"287",301,"julia holter","have you in my wilderness",20825,8.4,"winston cook-wilson","contributor",2015-09-18,4,2015
"288",302,"julian lynch","mare",14366,8.5,"joe colly","contributor",2010-06-28,0,2010
"289",303,"julianna barwick","the magic place",15147,8.5,"mark richardson","executive editor",2011-02-23,2,2011
"290",304,"julianna barwick","nepenthe",18408,8.5,"lindsay zoladz","contributor",2013-08-23,4,2013
"291",305,"junior boys","last exit",4340,8.9,"scott plagenhoef","contributor",2004-06-15,1,2004
"292",306,"junior boys","so this is goodbye",9301,9,"mark pytlik","contributor",2006-08-10,3,2006
"293",307,"justice","justice",10321,8.4,"jess harvell","contributor",2007-06-12,1,2007
"294",308,"justin timberlake","the 20/20 experience",17736,8.4,"ryan dombal","senior editor",2013-03-19,1,2013
"295",309,"kaitlyn aurelia smith","sunergy",22300,8.4,"jenn pelly","associate reviews editor",2016-09-15,3,2016
"296",310,"kamaiyah","a good night in the ghetto",21712,8.2,"jayson greene","senior editor",2016-03-24,3,2016
"297",311,"kamasi washington","the epic",20557,8.6,"seth colter walls","contributor",2015-05-08,4,2015
"298",312,"kanye west","watch the throne",15725,8.5,"tom breihan","contributor",2011-08-11,3,2011
"299",313,"kanye west","graduation",10658,8.7,"mark pytlik","contributor",2007-09-11,1,2007
"300",314,"kanye west","my beautiful dark twisted fantasy",14880,10,"ryan dombal","senior editor",2010-11-22,0,2010
"301",315,"kanye west","yeezus",18172,9.5,"ryan dombal","senior editor",2013-06-18,1,2013
"302",316,"kanye west","the life of pablo",21542,9,"jayson greene","senior editor",2016-02-15,0,2016
"303",317,"kanye west","the college dropout",8767,8.2,"rob mitchum","contributor",2004-02-20,4,2004
"304",318,"kanye west","late registration",8768,9.5,"sean fennessey","contributor",2005-08-28,6,2005
"305",319,"kate bush","50 words for snow",16067,8.5,"ryan dombal","senior editor",2011-11-21,0,2011
"306",320,"kate bush","before the dawn",22467,8.5,"laura snapes","contributor",2016-11-28,0,2016
"307",321,"kelela","cut 4 me",18661,8.3,"miles raymer","contributor",2013-10-18,4,2013
"308",322,"kelela","hallucinogen",20432,8.3,"anupa mistry","contributor",2015-10-07,2,2015
"309",323,"kendrick lamar","good kid, m.a.a.d city",17253,9.5,"jayson greene","senior editor",2012-10-23,1,2012
"310",324,"kendrick lamar","to pimp a butterfly",20390,9.3,"craig jenkins","contributor",2015-03-19,3,2015
"311",325,"kendrick lamar","untitled unmastered.",21705,8.6,"kris ex","contributor",2016-03-08,1,2016
"312",326,"kevin gates","islah",21287,8.5,"jayson greene","senior editor",2016-02-04,3,2016
"313",327,"kevin morby","singing saw",21681,8.3,"mark richardson","executive editor",2016-04-15,4,2016
"314",328,"killer mike","r.a.p. music",16537,8.6,"ian cohen","contributor",2012-05-15,1,2012
"315",329,"kurt vile","smoke ring for my halo",15174,8.4,"david bevan","contributor",2011-03-07,0,2011
"316",330,"kurt vile","wakin on a pretty daze",17851,8.5,"jayson greene","senior editor",2013-04-10,2,2013
"317",331,"kurt vile","blieve im goin down",20840,8.4,"mark richardson","executive editor",2015-09-22,1,2015
"318",332,"lambchop","mr. m",16221,8.3,"mike powell","contributor",2012-02-22,2,2012
"319",333,"lcd soundsystem","sound of silver",10017,9.2,"mark pytlik","contributor",2007-03-20,1,2007
"320",334,"lcd soundsystem","this is happening",14257,9.2,"ryan dombal","senior editor",2010-05-17,0,2010
"321",335,"lcd soundsystem","lcd soundsystem",4978,8.2,"dominique leone","contributor",2005-02-02,2,2005
"322",336,"leonard cohen","you want it darker",22514,8.5,"stacey anderson","associate features editor",2016-10-24,0,2016
"323",337,"les savy fav","let's stay friends",10678,8.3,"matt lemay","contributor",2007-09-18,1,2007
"324",338,"les savy fav","inches",4752,9.1,"matt lemay","contributor",2004-04-22,3,2004
"325",340,"liars","liars",10588,8.5,"jess harvell","contributor",2007-08-27,0,2007
"326",341,"liars","sisterworld",13991,8.1,"marc masters","contributor",2010-03-09,1,2010
"327",342,"liars","drum's not dead",4767,9,"brandon stosuy","contributor",2006-02-22,2,2006
"328",343,"lightning bolt","wonderful rainbow",4786,8.4,"julianne escobedo shepherd","contributor",2003-03-03,0,2003
"329",344,"lil wayne","tha carter iii",11608,8.7,"ryan dombal","senior editor",2008-06-12,3,2008
"330",345,"lindstrom","where you go i go too",12125,8.6,"tim finney",NA,2008-08-25,0,2008
"331",346,"lindstrom","it's a feedelity affair",9559,8.4,"tim finney",NA,2006-10-25,2,2006
"332",347,"local natives","gorilla manor",13925,8.4,"ian cohen","contributor",2010-02-15,0,2010
"333",348,"loretta lynn","van lear rose",4961,9.3,"stephen deusner",NA,2004-04-29,3,2004
"334",349,"lotus plaza","spooky action at a distance",16432,8.4,"ian cohen","contributor",2012-04-02,0,2012
"335",350,"love is all","nine times that same song",8971,8.7,"nick sylvester","contributor",2005-12-05,0,2006
"336",351,"lower dens","escape from evil",20213,8.3,"sasha geffen","contributor",2015-04-03,4,2015
"337",352,"lykke li","wounded rhymes",15167,8.3,"stephen m. deusner","contributor",2011-03-03,3,2011
"338",353,"lykke li","i never learn",19312,8.4,"ian cohen","contributor",2014-05-05,0,2014
"339",354,"m.i.a.","kala",10564,8.9,"mark pytlik","contributor",2007-08-21,1,2007
"340",355,"m.i.a.","arular",5618,8.6,"scott plagenhoef","contributor",2005-03-22,1,2005
"341",356,"m83","saturdays=youth",11406,8.5,"brian howe","contributor",2008-04-15,1,2008
"342",357,"m83","hurry up, we're dreaming",15881,9.1,"ian cohen","contributor",2011-10-17,0,2011
"343",358,"m83","dead cities, red seas & lost ghosts",5006,9.2,"matt lemay","contributor",2003-05-12,0,2003
"344",359,"m83","before the dawn heals us",5009,8.6,"brandon stosuy","contributor",2005-01-26,2,2005
"345",360,"mac demarco","2",17182,8.2,"sam hockley-smith","contributor",2012-10-31,2,2012
"346",361,"mac demarco","salad days",19170,8.5,"marc hogan","senior staff writer",2014-04-01,1,2014
"347",362,"madvillain","madvillainy",5579,9.4,"rollie pemberton & nick sylvester",NA,2004-03-25,3,2004
"348",363,"majesticons","beauty party",5050,8.7,"julianne escobedo shepherd","contributor",2003-02-25,1,2003
"349",364,"male bonding","nothing hurts",14241,8.5,"nitsuh abebe","contributor",2010-05-13,3,2010
"350",365,"marnie stern","this is it and i am it and you are it and so is that and he is it and she is it and it is it and that is that",12272,8.3,"mike powell","contributor",2008-10-09,3,2008
"351",366,"mastodon","blood mountain",9426,8.7,"brandon stosuy","contributor",2006-09-20,2,2006
"352",367,"matthew dear","black city",14533,8.4,"joe colly","contributor",2010-08-13,4,2010
"353",368,"max richter","the blue notebooks",6917,8.7,"mark pytlik","contributor",2004-07-01,3,2004
"354",369,"maxwell","blacksummersnight",22057,8.4,"rebecca haithcoat","contributor",2016-07-12,1,2016
"355",370,"memory tapes","seek magic",13451,8.3,"ian cohen","contributor",2009-09-30,2,2009
"356",371,"menomena","i am the fun blame monster",5555,8.7,"joe tangari","contributor",2003-10-21,1,2003
"357",372,"menomena","friend and foe",9768,8.5,"joe tangari","contributor",2007-01-18,3,2007
"358",373,"metz","metz",17170,8.5,"stuart berman","contributor",2012-10-10,2,2012
"359",374,"miguel","kaleidoscope dream",17125,8.4,"andrew ryce","contributor",2012-10-04,3,2012
"360",375,"miguel","wildheart",20728,8.9,"anupa mistry","contributor",2015-07-01,2,2015
"361",376,"mikal cronin","mcii",17959,8.4,"evan minsker","deputy news editor",2013-05-02,3,2013
"362",377,"mirah","c'mon miracle",5332,8.5,"michael idov",NA,2004-05-12,2,2004
"363",378,"mitski","puberty 2",21970,8.5,"jillian mapes","senior editor",2016-06-22,2,2016
"364",379,"moodymann","dj-kicks",21580,8.4,"andy beta","contributor",2016-02-17,2,2016
"365",380,"morrissey","you are the quarry",5437,8.9,"brent dicrescenzo","contributor",2004-05-19,2,2004
"366",382,"mount eerie","clear moon",16657,8.3,"jayson greene","senior editor",2012-05-22,1,2012
"367",383,"mount eerie","lost wisdom",12292,8.3,"matthew solarski","contributor",2008-10-14,1,2008
"368",384,"mutsumi","afro finger and gel",5561,9,"andy beta","contributor",2003-12-04,3,2003
"369",385,"mutual benefit","love's crushing diamond",18669,8.4,"ian cohen","contributor",2013-10-25,4,2013
"370",387,"my morning jacket","it still moves",5531,8.3,"joe tangari","contributor",2003-09-17,2,2003
"371",388,"nao","february 15",20620,8.4,"meaghan garvey","contributor",2015-05-22,4,2015
"372",389,"nas","life is good",16832,8.3,"jayson greene","senior editor",2012-07-20,4,2012
"373",390,"natalie prass","natalie prass",20088,8.3,"jeremy gordon","contributor",2015-01-26,0,2015
"374",391,"need new body","ufo",5732,8.4,"matt lemay","contributor",2003-09-23,1,2003
"375",392,"neon indian","psychic chasms",13510,8.6,"marc hogan","senior staff writer",2009-10-13,1,2009
"376",393,"neon indian","vega intl. night school",21041,8.6,"ian cohen","contributor",2015-10-14,2,2015
"377",394,"nick cave & the bad seeds","skeleton tree",22336,9,"stuart berman","contributor",2016-09-14,2,2016
"378",395,"nicolas jaar","space is only noise",15122,8.4,"andrew gaerig","contributor",2011-02-17,3,2011
"379",396,"nicolas jaar","sirens",22444,8.7,"jonah bromwich","contributor",2016-09-29,3,2016
"380",397,"no age","nouns",11449,9.2,"amanda petrusich","contributor",2008-05-05,0,2008
"381",398,"no age","everything in between",14688,8.8,"paul thompson","contributor",2010-09-28,1,2010
"382",399,"non-prophets","hope",5883,9.2,"rollie pemberton",NA,2003-10-13,0,2003
"383",400,"nxworries","yes lawd!",22389,8.2,"jonah bromwich","contributor",2016-10-18,1,2016
"384",401,"of montreal","hissing fauna, are you the destroyer?",9796,8.7,"rob mitchum","contributor",2007-01-24,2,2007
"385",402,"off!","first four eps",14919,8.5,"paul thompson","contributor",2010-12-09,3,2010
"386",403,"okkervil river","the stage names",10509,8.7,"stephen m. deusner","contributor",2007-08-06,0,2007
"387",404,"oneohtrix point never","replica",16031,8.8,"mark richardson","executive editor",2011-11-11,4,2011
"388",405,"oneohtrix point never","r plus seven",18537,8.4,"mark richardson","executive editor",2013-10-04,4,2013
"389",406,"oneohtrix point never","garden of delete",21108,8.7,"philip sherburne","contributing editor",2015-11-09,0,2015
"390",407,"ought","more than any other day",19248,8.4,"stuart berman","contributor",2014-04-29,1,2014
"391",408,"out hud","s.t.r.e.e.t. d.a.d.",6059,9,"eric carr","contributor",2003-01-15,2,2002
"392",409,"owen pallett","heartland",13830,8.6,"nitsuh abebe","contributor",2010-01-15,4,2010
"393",410,"pallbearer","sorrow and extinction",16345,8.4,"brandon stosuy","contributor",2012-03-01,3,2012
"394",411,"pallbearer","foundations of burden",19570,8.6,"brandon stosuy","contributor",2014-08-12,1,2014
"395",412,"panda bear","person pitch",10025,9.4,"mark richardson","executive editor",2007-03-22,3,2007
"396",413,"panda bear","tomboy",15299,8.5,"jess harvell","contributor",2011-04-11,0,2011
"397",414,"panda bear","panda bear meets the grim reaper",20079,8.7,"stuart berman","contributor",2015-01-12,0,2015
"398",415,"panda bear","young prayer",6141,8.5,"mark richardson","executive editor",2004-09-29,2,2004
"399",416,"pantha du prince","black noise",13947,8.3,"joe colly","contributor",2010-02-19,4,2010
"400",417,"panthers","let's get serious",6150,7.9,"brandon stosuy","contributor",2003-04-30,2,2003
"401",418,"parquet courts","sunbathing animal",19403,8.6,"larry fitzmaurice","contributor",2014-06-04,2,2014
"402",419,"parquet courts","human performance",21597,8.4,"jenn pelly","associate reviews editor",2016-04-08,4,2016
"403",420,"passion pit","gossamer",16844,8.4,"ian cohen","contributor",2012-07-23,0,2012
"404",421,"patrick wolf","the magic position",9965,8.3,"liz colville",NA,2007-03-08,3,2007
"405",422,"perfect pussy","say yes to love",19086,8.6,"lindsay zoladz","contributor",2014-03-17,0,2014
"406",423,"perfume genius","put your back n 2 it",16335,8.4,"larry fitzmaurice","contributor",2012-02-27,0,2012
"407",424,"perfume genius","too bright",19798,8.5,"brandon stosuy","contributor",2014-09-23,1,2014
"408",425,"peter bjorn and john","writer's block",9518,8.5,"marc hogan","senior staff writer",2006-10-18,2,2006
"409",426,"pharmakon","bestial burden",19871,8.4,"larry fitzmaurice","contributor",2014-10-15,2,2014
"410",427,"philip jeck","7",4227,8.2,"mark richardson","executive editor",2004-01-13,1,2004
"411",428,"phoenix","wolfgang amadeus phoenix",13052,8.5,"ryan dombal","senior editor",2009-05-27,2,2009
"412",429,"phosphorescent","muchacho",17522,8.8,"jayson greene","senior editor",2013-03-18,0,2013
"413",430,"pj harvey","let england shake",15120,8.8,"scott plagenhoef","contributor",2011-02-15,1,2011
"414",431,"polysics","neu",6396,8.3,"brad hurst",NA,2003-09-04,3,2003
"415",432,"porches","pool",21514,8.3,"jeremy gordon","contributor",2016-02-08,0,2016
"416",433,"portishead","third",11438,8.8,"nate patrin","contributor",2008-04-28,0,2008
"417",434,"prefuse 73","one word extinguisher",6449,9.1,"jascha hoffman",NA,2003-05-07,2,2003
"418",435,"preoccupations","viet cong",20086,8.5,"ian cohen","contributor",2015-01-22,3,2015
"419",436,"prodigy","return of the mac",10116,8.5,"tom breihan","contributor",2007-04-20,4,2007
"420",437,"prurient","frozen niagara falls",20463,8.5,"andy o'connor","contributor",2015-05-14,3,2015
"421",438,"purity ring","shrines",16851,8.4,"mark richardson","executive editor",2012-07-24,1,2012
"422",439,"radiohead","in rainbows",10785,9.3,"mark pytlik","contributor",2007-10-15,0,2007
"423",440,"radiohead","a moon shaped pool",21907,9.1,"jayson greene","senior editor",2016-05-11,2,2016
"424",441,"raekwon","only built 4 cuban linx... pt. ii",13441,8.8,"nate patrin","contributor",2009-09-17,3,2009
"425",442,"real estate","real estate",13703,8.5,"david bevan","contributor",2009-11-17,1,2009
"426",443,"real estate","days",15918,8.7,"marc masters","contributor",2011-10-18,1,2011
"427",444,"real estate","atlas",19060,8.8,"jayson greene","senior editor",2014-03-03,0,2014
"428",445,"rhye","woman",17693,8.5,"miles raymer","contributor",2013-03-05,1,2013
"429",446,"robyn","body talk pt. 1",14294,8.5,"marc hogan","senior staff writer",2010-06-01,1,2010
"430",447,"robyn","body talk",14917,8.7,"marc hogan","senior staff writer",2010-12-03,4,2010
"431",448,"run the jewels","run the jewels",18219,8.5,"nate patrin","contributor",2013-07-01,0,2013
"432",449,"run the jewels","run the jewels 2",19968,9,"ian cohen","contributor",2014-10-29,2,2014
"433",450,"run the jewels","run the jewels 3",22745,8.6,"sheldon pearce","associate staff writer",2017-01-03,1,2016
"434",451,"sally shapiro","disco romance",9751,8.5,"marc hogan","senior staff writer",2007-01-09,1,2006
"435",452,"savages","silence yourself",17977,8.7,"lindsay zoladz","contributor",2013-05-06,0,2013
"436",453,"schoolboy q","habits & contradictions",16216,8.4,"jayson greene","senior editor",2012-01-27,4,2012
"437",454,"schoolboy q","blank face lp",22094,8.3,"jonah bromwich","contributor",2016-07-14,3,2016
"438",455,"scott walker","the drift",8764,9,"dominique leone","contributor",2006-05-09,1,2006
"439",456,"sepalcure","sepalcure",16062,8.4,"andrew gaerig","contributor",2011-11-22,1,2011
"440",457,"serena-maneesh","serena maneesh",8972,8.6,"nick sylvester","contributor",2005-09-06,1,2006
"441",458,"shabazz palaces","black up",15570,8.8,"eric grandy","contributor",2011-06-27,0,2011
"442",459,"shamir","ratchet",20585,8.3,"anupa mistry","contributor",2015-05-18,0,2015
"443",460,"sheer mag","iii",21731,8.3,"jeremy gordon","contributor",2016-03-14,0,2016
"444",461,"shining","in the kingdom of kitsch you will be a monster",7805,8.3,"brandon stosuy","contributor",2005-03-11,4,2005
"445",462,"single frame","wetheads come running",7180,8.5,"andrew bryant",NA,2003-05-27,1,2002
"446",463,"six organs of admittance","school of the flower",7203,8.3,"brandon stosuy","contributor",2005-02-09,2,2005
"447",464,"sleater-kinney","no cities to love",20148,8.7,"jenn pelly","associate reviews editor",2015-01-20,1,2015
"448",465,"sleater-kinney","the woods",7240,9,"stephen m. deusner","contributor",2005-05-24,1,2005
"449",466,"sleigh bells","treats",14251,8.7,"mark richardson","executive editor",2010-05-14,4,2010
"450",467,"smith westerns","dye it blonde",15016,8.4,"david bevan","contributor",2011-01-18,1,2011
"451",468,"solange","a seat at the table",22482,8.7,"julianne escobedo shepherd","contributor",2016-10-05,2,2016
"452",469,"songs: ohia","magnolia electric co.",7333,8.2,"eric carr","contributor",2003-03-12,2,2003
"453",470,"sonic youth","sonic nurse",7348,8.5,"sam ubl",NA,2004-06-06,6,2004
"454",471,"speedy ortiz","major arcana",18245,8.4,"lindsay zoladz","contributor",2013-07-12,4,2013
"455",472,"spiritualized","songs in a&e",11569,8.4,"mike mcgonigal","contributor",2008-06-03,1,2008
"456",473,"spiritualized","sweet heart sweet light",16503,8.8,"ryan dombal","senior editor",2012-04-16,0,2012
"457",474,"spoon","ga ga ga ga ga",10390,8.5,"eric harvey","contributor",2007-07-11,2,2007
"458",475,"spoon","they want my soul",19514,8.6,"ryan dombal","senior editor",2014-08-04,0,2014
"459",476,"st. vincent","actor",12985,8.5,"matthew perpetua",NA,2009-05-05,1,2009
"460",477,"st. vincent","strange mercy",15813,9,"ryan dombal","senior editor",2011-09-13,1,2011
"461",478,"st. vincent","st. vincent",19020,8.6,"lindsay zoladz","contributor",2014-02-24,0,2014
"462",479,"stephen malkmus","face the truth",5059,8.7,"sam ubl",NA,2005-05-24,1,2005
"463",480,"sufjan stevens","the age of adz",14738,8.4,"ryan dombal","senior editor",2010-10-12,1,2010
"464",481,"sufjan stevens","carrie & lowell",20218,9.3,"brandon stosuy","contributor",2015-03-30,0,2015
"465",482,"sufjan stevens","greetings from michigan: the great lakes state",7510,8.5,"brandon stosuy","contributor",2003-07-27,6,2003
"466",483,"sufjan stevens","seven swans",7512,8.1,"nick sylvester","contributor",2004-03-16,1,2004
"467",484,"sufjan stevens","illinois",7514,9.2,"amanda petrusich","contributor",2005-07-04,0,2005
"468",485,"sun kil moon","benji",18860,9.2,"ian cohen","contributor",2014-02-03,0,2014
"469",487,"sunn o)))","monoliths & dimensions",13195,8.5,"grayson currin","contributor",2009-05-29,4,2009
"470",488,"sunn o)))","black one",7581,8.9,"brandon stosuy","contributor",2005-12-14,2,2006
"471",489,"sunset rubdown","random spirit lover",10711,8.5,"brian howe","contributor",2007-10-01,0,2007
"472",490,"sunset rubdown","dragonslayer",13232,8.3,"jessica suarez","contributor",2009-06-24,2,2009
"473",491,"sunset rubdown","shut up i am dreaming",7818,8.6,"brandon stosuy","contributor",2006-05-03,2,2006
"474",492,"supersilent","6",7628,9.1,"chris dahlen",NA,2003-02-11,1,2003
"475",493,"surfer blood","astro coast",13844,8.2,"ian cohen","contributor",2010-01-21,3,2010
"476",494,"swans","the seer",16964,9,"mike powell","contributor",2012-08-27,0,2012
"477",495,"swans","to be kind",19326,9.2,"stuart berman","contributor",2014-05-12,0,2014
"478",496,"tame impala","innerspeaker",14279,8.5,"zach kelly","contributor",2010-05-28,4,2010
"479",497,"tame impala","lonerism",17131,9,"ian cohen","contributor",2012-10-08,0,2012
"480",498,"tame impala","currents",20578,9.3,"ian cohen","contributor",2015-07-13,0,2015
"481",499,"tapes 'n tapes","the loon",8314,8.3,"sam ubl",NA,2006-02-27,0,2006
"482",500,"ted leo and the pharmacists","hearts of oak",4739,8.3,"rob mitchum","contributor",2003-02-07,4,2003
"483",501,"the-dream","love king",14449,8.6,"david drake","contributor",2010-07-13,1,2010
"484",503,"the antlers","hospice",13196,8.5,"brian howe","contributor",2009-08-04,1,2009
"485",504,"the antlers","burst apart",15411,8.2,"ian cohen","contributor",2011-05-12,3,2011
"486",505,"the avalanches","wildflower",22065,8.5,"mark richardson","executive editor",2016-07-08,4,2016
"487",506,"the books","the lemon of pink",855,8.4,"mark richardson","executive editor",2003-10-08,2,2003
"488",507,"the boy least likely to","the best party ever",1157,8.5,"marc hogan","senior staff writer",2005-04-26,1,2005
"489",508,"the bug","london zoo",12000,8.6,"nate patrin","contributor",2008-07-30,2,2008
"490",509,"the clientele","god save the clientele",10206,8.3,"mark richardson","executive editor",2007-05-10,3,2007
"491",510,"the clientele","strange geometry",1507,8.6,"mark richardson","executive editor",2005-10-13,3,2005
"492",511,"the deadly snakes","ode to joy",2519,8.5,"amanda petrusich","contributor",2003-09-21,6,2003
"493",512,"the decemberists","her majesty the decemberists",2239,8.2,"chris dahlen",NA,2003-09-07,6,2003
"494",513,"the decemberists","castaways and cutouts",2241,8.1,"eric carr","contributor",2003-03-25,1,2002
"495",514,"the decemberists","picaresque",2243,8.3,"stephen m. deusner","contributor",2005-03-23,2,2005
"496",515,"the decemberists","the crane wife",9472,8.4,"stephen m. deusner","contributor",2006-10-03,1,2006
"497",516,"the dodos","visiter",11268,8.5,"ian cohen","contributor",2008-03-21,4,2008
"498",517,"the exploding hearts","guitar romantic",2875,8.8,"matt lemay","contributor",2003-04-08,1,2003
"499",518,"the field","from here we go sublime",10022,9,"jess harvell","contributor",2007-03-26,0,2007
"500",519,"the field","looping state of mind",15790,8.5,"jess harvell","contributor",2011-09-07,2,2011
"501",520,"the field","cupid's head",18538,8.7,"larry fitzmaurice","contributor",2013-10-02,2,2013
"502",521,"the fiery furnaces","blueberry boat",3272,9.6,"chris dahlen",NA,2004-07-13,1,2004
"503",522,"the fiery furnaces","ep",3273,8.9,"rob mitchum","contributor",2005-01-12,2,2005
"504",523,"the flaming lips","embryonic",13522,9,"stuart berman","contributor",2009-10-12,0,2009
"505",524,"the foreign exchange","connected",3321,8.6,"jamin warren",NA,2004-09-14,1,2004
"506",525,"the futureheads","the futureheads",3316,8.3,"sam ubl",NA,2004-07-29,3,2004
"507",526,"the go! team","thunder, lightning, strike",3654,8.7,"ryan schreiber","editor-in-chief",2004-10-26,1,2004
"508",527,"the haxan cloak","excavation",17732,8.7,"nick neyland","contributor",2013-04-17,2,2013
"509",528,"the hold steady","separation sunday",3977,8.7,"tom breihan","contributor",2005-05-05,3,2005
"510",529,"the hold steady","boys and girls in america",9474,9.4,"scott plagenhoef","contributor",2006-10-02,0,2006
"511",530,"the knife","shaking the habitual",17847,8.4,"lindsay zoladz","contributor",2013-04-08,0,2013
"512",531,"the knife","silent shout",4590,8.6,"mark pytlik","contributor",2006-02-13,0,2006
"513",532,"the men","open your heart",16295,8.5,"ian cohen","contributor",2012-03-05,0,2012
"514",533,"the microphones","mount eerie",5267,8.9,"eric carr","contributor",2003-01-20,0,2003
"515",534,"the morning benders","big echo",13965,8.2,"larry fitzmaurice","contributor",2010-03-17,2,2010
"516",535,"the mountain goats","the life of the world to come",13483,8.4,"mike powell","contributor",2009-10-14,2,2009
"517",536,"the national","boxer",10242,8.6,"stephen m. deusner","contributor",2007-05-21,0,2007
"518",537,"the national","high violet",14203,8.7,"andrew gaerig","contributor",2010-05-10,0,2010
"519",538,"the national","trouble will find me",18030,8.4,"ian cohen","contributor",2013-05-21,1,2013
"520",539,"the new pornographers","twin cinema",5773,9,"rob mitchum","contributor",2005-08-21,6,2005
"521",540,"the pains of being pure at heart","the pains of being pure at heart",12644,8.4,"ian cohen","contributor",2009-02-06,4,2009
"522",541,"the pains of being pure at heart","belong",15270,8.2,"ian cohen","contributor",2011-04-01,4,2011
"523",542,"the pipettes","we are the pipettes",9244,8.4,"scott plagenhoef","contributor",2006-07-26,2,2006
"524",543,"the plastic constellations","mazatlan",6542,8.5,"sam ubl",NA,2004-06-28,0,2004
"525",544,"the radio dept.","clinging to a scheme",14146,8.3,"larry fitzmaurice","contributor",2010-04-26,0,2010
"526",545,"the range","nonfiction",18679,8.2,"mike powell","contributor",2013-10-31,3,2013
"527",546,"the rapture","echoes",6693,9,"ryan schreiber","editor-in-chief",2003-09-09,1,2003
"528",547,"the ruby suns","sea lion",11219,8.3,"andrew gaerig","contributor",2008-03-07,4,2008
"529",548,"the shins","port of morrow",16390,8.4,"larry fitzmaurice","contributor",2012-03-19,0,2012
"530",549,"the shins","chutes too narrow",7114,8.9,"matt lemay","contributor",2003-10-20,0,2003
"531",550,"the soft pink truth","do you party?",7314,8.4,"dominique leone","contributor",2003-02-04,1,2003
"532",551,"the streets","a grand don't come for free",7533,9.1,"scott plagenhoef","contributor",2004-05-17,0,2004
"533",552,"the tallest man on earth","the wild hunt",14110,8.5,"stephen m. deusner","contributor",2010-04-15,3,2010
"534",553,"the thermals","the body, the blood, the machine",9328,8.5,"amanda petrusich","contributor",2006-08-22,1,2006
"535",554,"the tough alliance","a new chance",10668,8.6,"marc hogan","senior staff writer",2007-10-19,4,2007
"536",555,"the twilight sad","fourteen autumns and fifteen winters",10111,8.6,"mark richardson","executive editor",2007-04-12,3,2007
"537",556,"the unicorns","who will cut our hair when we're gone?",8380,8.9,"eric carr","contributor",2003-11-11,1,2003
"538",558,"the very best","warm heart of africa",13518,8.6,"brian howe","contributor",2009-10-06,1,2009
"539",559,"the walkmen","you & me",12084,8.5,"jason crock",NA,2008-08-18,0,2008
"540",560,"the walkmen","lisbon",14605,8.6,"tom breihan",NA,2010-09-13,0,2010
"541",561,"the walkmen","bows and arrows",8572,9.2,"eric carr","contributor",2004-02-05,3,2004
"542",562,"the war on drugs","slave ambient",15733,8.3,"stuart berman","contributor",2011-08-23,1,2011
"543",563,"the war on drugs","lost in the dream",19094,8.8,"stuart berman","contributor",2014-03-18,1,2014
"544",564,"the weeknd","trilogy",15264,8.5,"joe colly","contributor",2011-03-29,1,2011
"545",565,"the wrens","the meadowlands",8742,9.5,"ryan schreiber","editor-in-chief",2003-09-29,0,2003
"546",566,"the xx","xx",13400,8.7,"andrew gaerig","contributor",2009-08-28,4,2009
"547",567,"these new puritans","field of reeds",18103,8.4,"laura snapes","contributor",2013-06-14,4,2013
"548",568,"thundercat","the beyond / where the giants roam",20760,8.3,"seth colter walls","contributor",2015-06-26,4,2015
"549",569,"tim hecker","ravedeath, 1972",15124,8.6,"joe colly","contributor",2011-02-18,4,2011
"550",570,"tim hecker","virgins",18559,8.3,"mike powell","contributor",2013-10-15,1,2013
"551",571,"tim hecker","harmony in ultraviolet",9497,8.7,"mark richardson","executive editor",2006-10-16,0,2006
"552",572,"times new viking","rip it off",11066,8.4,"jason crock",NA,2008-01-22,1,2008
"553",573,"titus andronicus","the airing of grievances",11202,8.5,"adam moerder",NA,2008-04-25,4,2008
"554",574,"titus andronicus","the monitor",14010,8.7,"rob mitchum","contributor",2010-03-12,4,2010
"555",575,"tnght","tnght",16854,8.5,"larry fitzmaurice","contributor",2012-07-25,2,2012
"556",576,"tobias jesso jr.","goon",20153,8.5,"mark richardson","executive editor",2015-03-16,0,2015
"557",577,"todd terje","it's album time",19148,8.7,"mike powell","contributor",2014-04-07,0,2014
"558",578,"toro y moi","underneath the pine",15129,8.3,"ian cohen","contributor",2011-02-25,4,2011
"559",579,"trash talk","awake",15911,8.2,"brandon stosuy","contributor",2011-10-14,4,2011
"560",580,"tune-yards","w h o k i l l",15321,8.8,"matthew perpetua",NA,2011-04-18,0,2011
"561",581,"tv on the radio","dear science",12246,9.2,"chris dahlen",NA,2008-09-22,0,2008
"562",582,"tv on the radio","young liars",8196,8.9,"eric carr","contributor",2003-07-27,6,2003
"563",583,"tv on the radio","return to cookie mountain",9177,9.1,"chris dahlen",NA,2006-07-05,2,2006
"564",584,"twin shadow","forget",14675,8.4,"liz colville",NA,2010-10-04,0,2010
"565",585,"twin shadow","confess",16805,8.6,"ian cohen","contributor",2012-07-06,4,2012
"566",586,"ty segall band","slaughterhouse",16744,8.7,"stuart berman","contributor",2012-06-25,0,2012
"567",587,"vampire weekend","vampire weekend",11058,8.8,"nitsuh abebe","contributor",2008-01-28,0,2008
